"Subject","Function"
"libpng","pngset.c:png_set_PLTE"
"libpng","pngpread.c:png_push_have_info"
"libpng","pngrutil.c:png_handle_gAMA"
"libpng","pngrutil.c:png_get_fixed_point"
"libpng","pngrutil.c:png_handle_sBIT"
"libpng","pngset.c:png_set_sBIT"
"libpng","pngrutil.c:png_handle_cHRM"
"libpng","pngrutil.c:png_handle_sRGB"
"libpng","pngrutil.c:png_handle_iCCP"
"libpng","pngrutil.c:png_inflate_claim"
"libpng","pngrutil.c:png_inflate_read"
"libpng","pngrutil.c:png_zlib_inflate"
"libpng","pngrutil.c:png_read_buffer"
"libpng","pngrutil.c:png_handle_sPLT"
"libpng","pngset.c:png_set_sPLT"
"libpng","pngrutil.c:png_handle_tRNS"
"libpng","pngset.c:png_set_tRNS"
"libpng","pngrutil.c:png_handle_bKGD"
"libpng","pngset.c:png_set_bKGD"
"libpng","pngrutil.c:png_handle_hIST"
"libpng","pngset.c:png_set_hIST"
"libpng","pngrutil.c:png_handle_pHYs"
"libpng","pngset.c:png_set_pHYs"
"libpng","pngrutil.c:png_handle_oFFs"
"libpng","pngset.c:png_set_oFFs"
"libpng","pngrutil.c:png_handle_pCAL"
"libpng","pngset.c:png_set_pCAL"
"libpng","pngrutil.c:png_handle_sCAL"
"libpng","pngset.c:png_set_sCAL_s"
"libpng","pngrutil.c:png_handle_tIME"
"libpng","pngset.c:png_set_tIME"
"libpng","pngrutil.c:png_handle_tEXt"
"libpng","pngset.c:png_set_text_2"
"libpng","pngrutil.c:png_handle_zTXt"
"libpng","pngrutil.c:png_decompress_chunk"
"libpng","pngrutil.c:png_inflate"
"libpng","pngrutil.c:png_handle_iTXt"
"libpng","pngpread.c:png_push_read_IDAT"
"libpng","pngpread.c:png_process_IDAT_data"
"libpng","pngpread.c:png_push_process_row"
"libpng","pngrutil.c:png_read_filter_row"
"libpng","pngrutil.c:png_init_filter_functions"
"libpng","pngrtran.c:png_do_read_transformations"
"libpng","pngrtran.c:png_do_expand_palette"
"libpng","pngrtran.c:png_do_expand"
"libpng","pngtrans.c:png_do_strip_channel"
"libpng","pngrtran.c:png_do_rgb_to_gray"
"libpng","pngrtran.c:png_do_gray_to_rgb"
"libpng","pngrtran.c:png_do_compose"
"libpng","pngrtran.c:png_do_gamma"
"libpng","pngrtran.c:png_do_encode_alpha"
"libpng","pngrtran.c:png_do_scale_16_to_8"
"libpng","pngrtran.c:png_do_chop"
"libpng","pngrtran.c:png_do_quantize"
"libpng","pngrtran.c:png_do_expand_16"
"libpng","pngtrans.c:png_do_invert"
"libpng","pngrtran.c:png_do_read_invert_alpha"
"libpng","pngrtran.c:png_do_unshift"
"libpng","pngrtran.c:png_do_unpack"
"libpng","pngtrans.c:png_do_check_palette_indexes"
"libpng","pngtrans.c:png_do_bgr"
"libpng","pngtrans.c:png_do_packswap"
"libpng","pngrtran.c:png_do_read_filler"
"libpng","pngrtran.c:png_do_read_swap_alpha"
"libpng","pngtrans.c:png_do_swap"
"libpng","pngrutil.c:png_do_read_interlace"
"libpng","pngpread.c:png_push_have_row"
"libpng","pngpread.c:png_read_push_finish_row"
"libpng","pngpread.c:png_process_data_pause"
"libpng","pngpread.c:png_process_data_skip"
"libpng","pngpread.c:png_progressive_combine_row"
"libpng","pngrutil.c:png_combine_row"
"libpng","pngpread.c:png_set_progressive_read_fn"
"libpng","pngpread.c:png_get_progressive_ptr"
"libpng","pngread.c:png_create_read_struct"
"libpng","pngread.c:png_create_read_struct_2"
"libpng","pngread.c:png_read_info"
"libpng","pngrutil.c:png_read_sig"
"libpng","pngrutil.c:png_read_chunk_header"
"libpng","pngrutil.c:png_handle_eXIf"
"libpng","pngset.c:png_set_eXIf_1"
"libpng","pngread.c:png_read_update_info"
"libpng","pngrutil.c:png_read_start_row"
"libpng","pngrtran.c:png_init_read_transformations"
"libpng","pngrtran.c:png_gamma_threshold"
"libpng","pngrtran.c:png_init_palette_transformations"
"libpng","pngrtran.c:png_init_rgb_transformations"
"libpng","pngrtran.c:png_read_transform_info"
"libpng","pngread.c:png_start_read_image"
"libpng","pngread.c:png_read_row"
"libpng","pngrutil.c:png_read_finish_row"
"libpng","pngrutil.c:png_read_finish_IDAT"
"libpng","pngrutil.c:png_read_IDAT_data"
"libpng","pngread.c:png_do_read_intrapixel"
"libpng","pngread.c:png_read_rows"
"libpng","pngread.c:png_read_image"
"libpng","pngtrans.c:png_set_interlace_handling"
"libpng","pngread.c:png_read_end"
"libpng","pngread.c:png_set_read_status_fn"
"libpng","pngread.c:png_read_png"
"libpng","pngrtran.c:png_set_scale_16"
"libpng","pngrtran.c:png_rtran_ok"
"libpng","pngrtran.c:png_set_strip_16"
"libpng","pngrtran.c:png_set_strip_alpha"
"libpng","pngtrans.c:png_set_packing"
"libpng","pngtrans.c:png_set_packswap"
"libpng","pngrtran.c:png_set_expand"
"libpng","pngtrans.c:png_set_invert_mono"
"libpng","pngtrans.c:png_set_shift"
"libpng","pngtrans.c:png_set_bgr"
"libpng","pngtrans.c:png_set_swap_alpha"
"libpng","pngtrans.c:png_set_swap"
"libpng","pngtrans.c:png_set_invert_alpha"
"libpng","pngrtran.c:png_set_gray_to_rgb"
"libpng","pngrtran.c:png_set_expand_gray_1_2_4_to_8"
"libpng","pngrtran.c:png_set_expand_16"
"libpng","pngread.c:png_image_begin_read_from_memory"
"libpng","pngread.c:png_image_read_init"
"libpng","pngread.c:png_image_memory_read"
"libpng","pngread.c:png_image_read_header"
"libpng","pngset.c:png_set_benign_errors"
"libpng","pngread.c:png_image_format"
"libpng","pngread.c:png_image_finish_read"
"libpng","pngread.c:png_image_read_colormap"
"libpng","pngread.c:png_create_colormap_entry"
"libpng","pngread.c:set_file_encoding"
"libpng","pngread.c:png_gamma_not_sRGB"
"libpng","pngread.c:make_gray_colormap"
"libpng","pngrtran.c:png_set_background_fixed"
"libpng","pngread.c:make_ga_colormap"
"libpng","pngrtran.c:png_set_rgb_to_gray_fixed"
"libpng","pngread.c:make_gray_file_colormap"
"libpng","pngread.c:make_rgb_colormap"
"libpng","pngread.c:png_colormap_compose"
"libpng","pngread.c:decode_gamma"
"libpng","pngrtran.c:png_set_tRNS_to_alpha"
"libpng","pngrtran.c:png_set_alpha_mode_fixed"
"libpng","pngrtran.c:translate_gamma_flags"
"libpng","pngread.c:png_image_read_colormapped"
"libpng","pngread.c:png_image_skip_unused_chunks"
"libpng","pngset.c:png_set_keep_unknown_chunks"
"libpng","pngset.c:add_one_chunk"
"libpng","pngread.c:png_image_read_direct"
"libpng","pngtrans.c:png_set_add_alpha"
"libpng","pngtrans.c:png_set_filler"
"libpng","pngread.c:png_image_read_composite"
"libpng","pngread.c:png_image_read_background"
"libpng","pngread.c:png_image_read_and_map"
"libpng","pngrio.c:png_read_data"
"libpng","pngrio.c:png_set_read_fn"
"libpng","pngrtran.c:png_set_crc_action"
"libpng","pngrtran.c:png_set_background"
"libpng","pngrtran.c:png_set_alpha_mode"
"libpng","pngrtran.c:convert_gamma_value"
"libpng","pngrtran.c:png_set_quantize"
"libpng","pngrtran.c:png_set_gamma_fixed"
"libpng","pngrtran.c:png_set_gamma"
"libpng","pngrtran.c:png_set_palette_to_rgb"
"libpng","pngrtran.c:png_set_rgb_to_gray"
"libpng","pngrtran.c:png_set_read_user_transform_fn"
"libpng","pngrutil.c:png_get_uint_32"
"libpng","pngrutil.c:png_get_int_32"
"libpng","pngrutil.c:png_get_uint_16"
"libpng","pngrutil.c:png_read_filter_row_sub"
"libpng","pngrutil.c:png_read_filter_row_up"
"libpng","pngrutil.c:png_read_filter_row_avg"
"libpng","pngrutil.c:png_read_filter_row_paeth_1byte_pixel"
"libpng","pngrutil.c:png_read_filter_row_paeth_multibyte_pixel"
"libpng","pngset.c:png_set_cHRM_fixed"
"libpng","pngset.c:png_set_cHRM_XYZ_fixed"
"libpng","pngset.c:png_set_cHRM"
